no,date,mpg,dep,lat,lon,locate
69,2017-05-04 21:46,2.4,,36.74,128.1,경북 문경시 북북서쪽 18km 지역
70,2017-05-05 0:02,2,,36.73,128.1,경북 문경시 북북서쪽 18km 지역
71,2017-05-05 23:16,3,,35.32,127.43,전남 구례군 북북서쪽 13km 지역
72,2017-05-10 14:06,2.5,,35.88,126.19,전북 부안군 위도 북북서쪽 32km 해역
73,2017-05-10 22:31,2.1,,36.61,129.45,경북 영덕군 북북동쪽 23km 해역
74,2017-05-13 18:37,2.8,,36.61,129.44,경북 영덕군 북북동쪽 23km 해역
75,2017-05-16 20:06,2.1,,36.85,124.55,충남 태안군 서격렬비도 서북서쪽 92km 해역
76,2017-05-16 23:29,2.2,,36.6,128.92,경북 안동시 동북동쪽 17km 지역
77,2017-05-20 16:29,2,,35.92,128.27,경북 성주군 북서쪽 1km 지역
78,2017-05-20 22:29,2.9,,37.73,129.62,강원 동해시 동북동쪽 50km 해역
79,2017-05-25 11:20,3,,36.96,124.4,충남 태안군 서격렬비도 서북서쪽 109km 해역
80,2017-05-28 15:47,2.7,,35.67,129.56,울산 북구 동북동쪽 20km 해역
81,2017-06-04 5:16,2.1,,36.83,128.1,충북 충주시 남동쪽 24km 지역
82,2017-06-11 18:16,2,,37.28,129.21,강원 삼척시 남남동쪽 19km 지역
83,2017-06-11 20:31,2.5,,35.77,129.17,경북 경주시 남남서쪽 9km 지역
84,2017-06-13 8:01,2.1,,35.74,129.18,경북 경주시 남남서쪽 11km 지역
85,2017-06-14 2:43,2.2,,38.34,126.14,북한 황해북도 평산 서쪽 22km 지역
86,2017-06-15 16:56,2.4,,36.54,125.07,충남 태안군 서격렬비도 서쪽 42km 해역
87,2017-06-17 14:30,2.3,,33.38,127.21,제주 서귀포시 성산 동쪽 30km 해역
88,2017-06-20 11:02,2,,35.85,129.08,경북 경주시 서쪽 12km 지역
89,2017-06-27 20:17,2,,35.77,129.2,경북 경주시 남남서쪽 8km 지역
90,2017-06-28 13:00,2.7,,40,125.81,북한 평안북도 영변 북쪽 22km 지역
91,2017-07-05 19:17,2.5,5,35.99,127.97,경북 김천시 남서쪽 21km 지역
92,2017-07-06 6:00,2.4,6,36,127.94,경북 김천시 남서쪽 22km 지역
93,2017-07-08 23:45,2.8,11,40.59,127.02,북한 자강도 용림 동북동쪽 23km 지역
94,2017-07-09 3:43,2.6,18,33.51,125.73,제주 제주시 고산 서북서쪽 47km 해역
95,2017-07-18 10:31,2.7,16,37.69,126.19,인천 강화군 서남서쪽 27km 해역
96,2017-07-19 10:23,2.1,14,33.8,126.1,제주 제주시 북서쪽 52km 해역
97,2017-07-20 14:38,2,11,37.39,129.54,강원 삼척시 동남동쪽 33km 해역
98,2017-08-07 20:53,2.6,-,38.7,125.63,북한 황해북도 송림 남남서쪽 4km 지역
99,2017-08-09 13:53,2.7,12,33.87,125.52,전남 신안군 흑산면 남쪽 87km 해역
100,2017-08-15 21:32,2.6,-,38.73,125.67,북한 황해북도 송림 동쪽 3km 지역
101,2017-08-16 0:35,2.5,-,38.73,125.69,북한 황해북도 송림 동쪽 5km 지역
102,2017-08-21 1:30,2.1,-,38.82,126.13,북한 평양 동남동쪽 39km 지역
103,2017-08-29 22:06,2.4,7,35.31,125.36,전남 영광군 안마도 서쪽 61km 해역
